,,,,,,,which_in_the_blowing_problems_apply?,,,,,,,,
sound_ID,evaluator,quality,cleaness,stability_of_the_tone,stability_of_the_pitch,smallness_of_the_noise,big,small,up,down,strong,weak,no_problem,don't_know,write_anything_else_you_noticed
n100,S02,5,5,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Clear, stable and beautiful sound"
n100,S05,2,2,2,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,I don't think the breath pressure is not enough.
n100,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,stable
n100,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,It stretches well and has a soft impression
n100,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,It grows well. I'm breathing well.
n101,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,I was a little worried about the shaking of the sound.
n101,S02,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,I was a little worried about the latter half of the shaking.
n101,S03,3,3,2,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,-
n101,S04,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-
n101,S06,3,3,3,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"It's a good sound, but the pitch is a little high"
n101,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,OK good sound
n101,S06,3,3,2,2,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,The sound is beautiful. It seems to improve with vibrato.
n102,S06,3,3,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,The breath is organized and it's almost good
n103,S02,3,3,2,2,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,The sound was strong and I was a little worried about shaking.
n103,S02,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,There was a little shaking in the sound.
n103,S06,2,2,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Improves when lip plate and lips are in close contact
n103,S10,3,3,3,3,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,The sound tends to be crushed. I haven't tanged out. It's a breathtaking breath.
n103,S11,2,2,2,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,nothing special
